"id","Edad","GENERO","NUMERO_HIJOS","PROFESION","SERVICIO","TIEMPO_PROPIETARIO","KILOMETRAJE_INSTALACION","Edad Licencia","RELACION_ASEGURADO","CILINDRAJE","CIUDAD","Min(Recorrido (Km))","Min(Frenadas (Uni))","Min(Arrancadas (Uni))","Min(Aceleraciones (Uni))","Min(Exceso Velocidad (Min))","Min(Maxima Velocidad (Km/h))","Min(Tiempo Uso (Min))","Min(Uso Zona (Min))","Min(Fuera Zona (Min))","Min(Colision)","Max(Recorrido (Km))","Max(Frenadas (Uni))","Max(Arrancadas (Uni))","Max(Aceleraciones (Uni))","Max(Exceso Velocidad (Min))","Max(Maxima Velocidad (Km/h))","Max(Tiempo Uso (Min))","Max(Uso Zona (Min))","Max(Fuera Zona (Min))","Max(Colision)","Mean(Recorrido (Km))","Mean(Frenadas (Uni))","Mean(Arrancadas (Uni))","Mean(Aceleraciones (Uni))","Mean(Exceso Velocidad (Min))","Mean(Maxima Velocidad (Km/h))","Mean(Tiempo Uso (Min))","Mean(Uso Zona (Min))","Mean(Fuera Zona (Min))","Mean(Colision)","CLASE","MODELO","SINIESTROS_2016","SINIESTROS_2017","SINIESTROS_2018"
"25628377",43.36,1,0,10,0,3,"7,4",21.77,1,1800,1,1,0,0,0,0,0,6,0,0,0,19,6,1,16,0,0,47,39,19,1,4.28,1.06,0.01,0.71,0,0,16.76,15.43,1.34,0.01,0,2005,0,0,0
"15672856",36.33,1,3,3,0,2,"8,185",20.32,3,2500,1,1,0,0,0,0,0,8,8,0,0,6,0,0,4,1,92.5,31,31,0,0,2.6,0,0,1.4,0.1,9.25,14.5,14.5,0,0,0,2005,0,0,0
"90443912",23.16,1,0,11,0,1,"8,5",4.39,1,1400,1,0,0,0,0,0,0,0,0,0,0,83,1,0,22,36,122.1,60,60,60,1,6.03,0.01,0,1.19,0.19,2.05,17.99,11.94,6.05,0,0,2008,0,0,0
"31287352",67.55,1,2,7,0,1,"8,573",3.92,1,2500,1,1,0,0,0,0,0,4,0,4,0,54,3,2,8,19,120.25,58,13,58,0,7.12,0.08,0.11,0.65,0.19,4.01,21.24,0.06,21.18,0,0,2008,0,0,0
"2156255",33.73,1,0,10,0,1,"8,615",2.24,1,1800,1,0,0,0,0,0,0,0,0,0,0,54,2,0,0,6,114.7,58,53,58,2,6.26,0.06,0,0,0.04,2.49,17.51,14.74,2.77,0,0,2008,1,0,0
"58266842",65.22,1,3,3,0,0,"8,797",32.11,1,1600,1,0,0,0,0,0,0,0,0,0,0,58,4,0,25,8,114.7,60,0,60,1,7.45,0.06,0,1.61,0.07,2.25,26.77,0,26.77,0.01,0,2008,0,0,0
"65721905",43.46,1,0,1,0,1,"8,843",3.18,1,1400,1,0,0,0,0,0,0,0,0,0,0,77,14,1,31,47,127.65,60,60,60,1,9.49,0.14,0.01,2.3,1,6.9,23.83,18.7,5.13,0,0,2008,0,0,1
"26406657",72.03,1,4,8,0,1,"9,288",46.6,1,1600,1,1,0,0,0,0,0,3,0,0,0,60,7,8,16,10,129.5,60,5,60,1,4.61,0.04,0.02,1.01,0.12,3.7,19.98,0,19.98,0,0,2010,0,0,0
"543191",31.14,0,0,12,0,0,"9,344",9.23,1,1600,1,1,0,0,0,0,0,4,0,0,0,94,10,1,19,49,127.65,60,6,60,1,10.3,0.09,0.01,1.16,0.61,14.62,26.53,0,26.52,0,0,2009,0,0,0
"40842570",64.12,1,3,3,0,1,"9,37",23.82,1,4600,1,0,0,0,0,0,0,0,0,0,0,73,50,2,12,30,127.65,60,58,60,2,7.95,0.87,0.09,0.18,0.37,9.1,21.74,17.05,4.69,0.03,0,2008,0,0,0
